rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,3.31,0.26,94.9
2,2,Bayern Munich,German Bundesliga,3.48,0.41,93.96
3,3,Liverpool,Barclays Premier League,2.92,0.29,92.56
4,6,Paris Saint-Germain,French Ligue 1,2.93,0.48,89.81
5,5,Real Madrid,Spanish Primera Division,2.85,0.47,89.34
6,4,Barcelona,Spanish Primera Division,2.94,0.54,88.97
7,7,Atletico Madrid,Spanish Primera Division,2.22,0.29,86.75
8,11,RB Leipzig,German Bundesliga,2.67,0.59,85.72
9,8,Chelsea,Barclays Premier League,2.56,0.55,85.22
10,9,Juventus,Italy Serie A,2.52,0.54,85.12
11,10,Leicester City,Barclays Premier League,2.29,0.49,83.55
12,12,Tottenham Hotspur,Barclays Premier League,2.53,0.64,83.27
13,16,Borussia Dortmund,German Bundesliga,2.54,0.65,83.07
14,13,Ajax,Dutch Eredivisie,2.91,0.97,81.33
15,18,Manchester United,Barclays Premier League,2.2,0.54,81.2
16,15,Bayer Leverkusen,German Bundesliga,2.26,0.63,80.18
17,17,Sevilla FC,Spanish Primera Division,2.08,0.53,79.9
18,19,Internazionale,Italy Serie A,2.34,0.69,79.89
19,14,FC Salzburg,Austrian T-Mobile Bundesliga,2.88,1.07,79.34
20,22,Getafe,Spanish Primera Division,1.79,0.38,79.22
21,26,Real Sociedad,Spanish Primera Division,2.14,0.6,79.07
22,20,Napoli,Italy Serie A,2.25,0.69,78.66
23,27,Benfica,Portuguese Liga,2.25,0.73,77.92
24,23,Everton,Barclays Premier League,2.09,0.64,77.53
25,28,Atalanta,Italy Serie A,2.36,0.85,76.85
26,21,Zenit St Petersburg,Russian Premier Liga,2.03,0.64,76.67
27,25,AS Roma,Italy Serie A,2.1,0.7,76.22
28,30,Wolverhampton,Barclays Premier League,1.94,0.6,76.17
29,24,FC Porto,Portuguese Liga,1.94,0.61,75.86
30,32,Arsenal,Barclays Premier League,2.24,0.83,75.54
31,31,Borussia Monchengladbach,German Bundesliga,2.24,0.86,74.81
32,29,Athletic Bilbao,Spanish Primera Division,1.74,0.55,74.05
33,35,Lazio,Italy Serie A,2.1,0.83,73.4
34,33,Eintracht Frankfurt,German Bundesliga,2.13,0.85,73.37
35,37,AC Milan,Italy Serie A,1.91,0.71,73.11
36,40,Valencia,Spanish Primera Division,2.13,0.87,72.85
37,36,Lyon,French Ligue 1,1.93,0.74,72.61
38,38,Villarreal,Spanish Primera Division,2.12,0.88,72.53
39,39,VfL Wolfsburg,German Bundesliga,1.83,0.68,72.39
40,34,Flamengo,Brasileiro Série A,2.08,0.88,71.72
41,49,Olympiacos,Greek Super League,1.99,0.82,71.65
42,41,Club Brugge,Belgian Jupiler League,1.99,0.83,71.48
43,43,Osasuna,Spanish Primera Division,1.85,0.76,70.72
44,53,Sheffield United,Barclays Premier League,1.78,0.72,70.44
45,50,AZ,Dutch Eredivisie,2.1,0.96,70.35
46,45,Crystal Palace,Barclays Premier League,1.78,0.72,70.27
47,42,TSG Hoffenheim,German Bundesliga,2.2,1.04,70.17
48,57,Marseille,French Ligue 1,1.82,0.76,70.05
49,48,Lille,French Ligue 1,1.77,0.73,70.04
50,44,Shakhtar Donetsk,UEFA Champions League,2.13,1.01,69.87
51,46,Schalke 04,German Bundesliga,1.95,0.87,69.8
52,64,Basel,Swiss Raiffeisen Super League,2.13,1.02,69.65
53,56,Eibar,Spanish Primera Division,1.73,0.73,69.35
54,47,Burnley,Barclays Premier League,1.87,0.83,69.34
55,55,Real Betis,Spanish Primera Division,1.96,0.9,69.28
56,51,AFC Bournemouth,Barclays Premier League,1.9,0.87,68.97
57,62,Granada,Spanish Primera Division,1.7,0.72,68.82
58,52,Brighton and Hove Albion,Barclays Premier League,1.88,0.86,68.71
59,54,Celta Vigo,Spanish Primera Division,1.76,0.79,68.2
60,58,Leeds United,English League Championship,1.81,0.84,67.98
61,66,Fiorentina,Italy Serie A,1.86,0.9,67.58
62,77,Watford,Barclays Premier League,1.77,0.83,67.57
63,61,Espanyol,Spanish Primera Division,1.78,0.84,67.42
64,75,AS Monaco,French Ligue 1,1.88,0.92,67.31
65,60,FC Krasnodar,Russian Premier Liga,1.77,0.84,67.26
66,70,Dynamo Kiev,UEFA Europa League,1.97,1.01,67.02
67,69,PAOK Salonika,Greek Super League,1.92,0.97,66.93
68,67,Rangers,Scottish Premiership,2.01,1.05,66.79
69,59,Celtic,Scottish Premiership,1.93,0.98,66.71
70,73,Palmeiras,Brasileiro Série A,1.67,0.79,66.46
71,85,LASK Linz,Austrian T-Mobile Bundesliga,1.85,0.94,66.42
72,74,West Ham United,Barclays Premier League,1.87,0.96,66.1
73,78,Leganes,Spanish Primera Division,1.61,0.77,65.85
74,63,Werder Bremen,German Bundesliga,2.02,1.1,65.83
75,71,Southampton,Barclays Premier League,1.87,0.98,65.8
76,68,Alavés,Spanish Primera Division,1.71,0.87,65.45
77,72,Dinamo Zagreb,UEFA Champions League,2.05,1.14,65.45
78,91,Santos,Brasileiro Série A,1.6,0.78,65.25
79,65,Aston Villa,Barclays Premier League,1.91,1.03,65.24
80,76,River Plate,Argentina Primera Division,1.81,0.96,65.08
81,79,Montpellier,French Ligue 1,1.58,0.77,65.08
82,80,Newcastle,Barclays Premier League,1.69,0.87,64.79
83,95,FC Augsburg,German Bundesliga,1.93,1.07,64.66
84,81,Young Boys,Swiss Raiffeisen Super League,2.2,1.31,64.39
85,90,CSKA Moscow,Russian Premier Liga,1.63,0.84,64.35
86,87,PSV,Dutch Eredivisie,2.03,1.18,64.29
87,82,Hertha Berlin,German Bundesliga,1.86,1.03,64.25
88,94,1. FC Union Berlin,German Bundesliga,1.73,0.93,64.06
89,88,Nantes,French Ligue 1,1.48,0.73,63.9
90,89,Brentford,English League Championship,1.61,0.86,63.48
91,100,Slavia Prague,UEFA Champions League,1.92,1.13,63.19
92,97,Angers,French Ligue 1,1.49,0.79,62.78
93,83,Grêmio,Brasileiro Série A,1.65,0.93,62.69
94,92,Bologna,Italy Serie A,1.79,1.05,62.57
95,106,SC Freiburg,German Bundesliga,1.78,1.04,62.41
96,105,FC Midtjylland,Danish SAS-Ligaen,1.72,0.99,62.4
97,98,Strasbourg,French Ligue 1,1.64,0.93,62.4
98,84,Real Valladolid,Spanish Primera Division,1.55,0.85,62.35
99,99,Levante,Spanish Primera Division,1.94,1.19,62.22
100,112,FC Cologne,German Bundesliga,1.69,0.98,62.17
101,117,Braga,Portuguese Liga,1.7,0.99,62.05
102,101,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
103,113,Reims,French Ligue 1,1.38,0.72,62.03
104,102,Torino,Italy Serie A,1.64,0.95,61.86
105,107,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
106,109,Sampdoria,Italy Serie A,1.58,0.9,61.72
107,96,Sporting CP,Portuguese Liga,1.65,0.97,61.66
108,111,Malmo FF,Swedish Allsvenskan,1.58,0.91,61.61
